Team,xMargin,OLS_Rating
getchell,25.92,27.59
lake_stevens,22.25,23.8
mountlake_terrace,13.5,14.37
stanwood,8.73,9.62
jackson,7.59,8.16
snohomish,5.72,6.07
kings,-0.09,0.28
lynnwood,-0.56,-0.23
glacier_peak,-3.08,-3.13
lakewood,-3.96,-7.59
arlington,-6.76,-6.91
shorewood,-7.33,-7.48
cedarcrest,-17.26,-17.88
edmonds-woodway,-21.88,-23.05
everett,-22.77,-23.63
