Date,Time,Venue,Home Team,Away Team,Home Score,Away Score,CHANGED
"Sunday, December 7, 2025",11:15 AM PST,Lake Stevens High School,Lake Stevens,Shorewood,24,31,no
"Sunday, December 7, 2025",1:45 PM PST,Snohomish High School,Snohomish,Shorewood,42,28,no
"Sunday, December 14, 2025",10:30 AM PST,Marysville-Pilchuck High School,Getchell,Shorewood,54,15,no
"Sunday, December 14, 2025",1:15 PM PST,Port Susan MS,Stanwood,Shorewood,49,39,no
"Sunday, December 21, 2025",10:30 AM PST,Shorewood High School,Shorewood,Mountlake Terrace,21,51,no
"Sunday, January 4, 2026",10:15 AM PST,Shorewood High School,Shorewood,King's,31,36,no
"Sunday, January 4, 2026",12:45 PM PST,Shorewood High School,Shorewood,Edmonds-Woodway,41,37,no
"Sunday, January 11, 2026",12:15 PM PST,Shorewood High School,Shorewood,Cedarcrest,36,47,no
"Sunday, January 25, 2026",10:15 AM PST,Jackson High School,Jackson,Shorewood,,,YES
"Sunday, January 25, 2026",12:45 PM PST,Valley View Middle School,Glacier Peak,Shorewood,,,YES
"Sunday, February 1, 2026",10:00 AM PST,Shorewood High School,Shorewood,Lynnwood,,,no
"Sunday, February 22, 2026",10:00 AM PST,Shorewood High School,Shorewood,Arlington,,,no
"Sunday, February 22, 2026",1:45 PM PST,Shorewood High School,Shorewood,Everett,,,no
