Team,xMargin,OLS_Rating
stanwood,9.99,17.36
arlington,3.91,3.61
shorewood,2.87,2.37
monroe,2.49,1.74
getchell,1.22,3.4
lake_stevens,0.59,4.85
kamiak,0.35,1.18
snohomish,0.3,1.98
glacier_peak,-3.29,-7.28
kings,-8.55,-11.91
meadowdale,-9.88,-17.3
