Team,xMargin,OLS_Rating
snohomish,29.55,30.5
glacier_peak,28.87,29.93
edmonds-woodway,18.37,18.87
lake_stevens,13.14,13.49
arlington,12.39,12.77
jackson,2.75,2.93
kamiak,1.31,1.33
stanwood,-4.05,-4.12
getchell,-11.47,-11.86
meadowdale,-16.39,-16.97
everett,-20.23,-20.86
mountlake_terrace,-21.42,-21.91
shorewood,-32.83,-34.1
