Team,xMargin,OLS_Rating
stanwood,23.36,23.94
snohomish,19.28,19.71
kings,16.04,16.42
glacier_peak,7.51,7.67
mountlake_terrace,7.22,7.41
monroe,4.47,4.6
arlington,2.61,2.68
lake_stevens,2.39,2.47
jackson,-1.47,-1.52
edmonds-woodway,-4.06,-4.15
kamiak,-12.01,-12.31
cedarcrest,-12.02,-12.33
shorewood,-15.68,-16.04
everett,-16.89,-17.29
meadowdale,-20.77,-21.25
