Team,xMargin,OLS_Rating
getchell,11.95,13.04
monroe,10.61,11.63
mountlake_terrace,10.36,11.16
lake_stevens,9.59,10.65
snohomish,8.66,9.54
kings,6.12,6.74
shorewood,3.79,4.29
everett,2.05,2.36
meadowdale,-0.17,-0.29
glacier_peak,-0.26,-0.29
jackson,-4.14,-4.61
arlington,-5.73,-6.34
kamiak,-15.1,-16.54
edmonds-woodway,-18.6,-20.5
cedarcrest,-19.13,-20.83
